id,field_id,content,answer,explanation,image
1,1,道路交通法の目的は、道路における危険を防止し、交通の安全と円滑を図り、交通によって起る障害の防止を図ことにある。,TRUE,道路交通法は、道路交通の基本となるもので、危険を防止し、交通の安全と円滑を図り、交通公害（障害）の防止を図るという目的があります。,
2,1,幼児を自動車に乗せるときは、病気などやむを得ない場合を除き、幼児の発育の程度に応じた形状のチャイルドシートを使用しなければならない。,TRUE,幼児を自動車に乗せるときは、幼児の体格に合ったチャイルドシートを使用しなければなりません。しかし、病気などやむを得ない理由がある場合は除かれます。,
3,1,二輪車は、手軽な乗であるから、半そでのシャツや半ズボンなどの軽装で乗車したほうがよい。,FALSE,二輪車を運転するときは、身体の露出がなるべく少なるよう、長そで長ズボンを着用して運転しましょう。,
4,1,道路交通法の目的の一つに「道路における危険を防止し、その他交通の安全と円滑を図る」というものがある。,TRUE,設問のとおりです。道路交通法には、「道路における危険を防止し、その他交通の安全と円滑を図る」という目的があります。,
5,1,やむを得ず携帯電を使用するときは、車を安全な場所に止めてから使用するようにする。,TRUE,設問のとおりです。走行中に携帯電話を使用してはいけません。,
6,1,シートベルトは、多少ねじれていても効果はかわらないので、気にしなくともよい。,FALSE,シートベルトは、ねじれて巻くとかえって危険になります。ねじれがないよう、正く着用しなければいけません。,
7,1,二輪車の乗車用ヘルメットは、ＰＳ（Ｃ）マークやＪＩＳマークなどのついた安全なものを使用する。,TRUE,ＰＳ（Ｃ）マークやＪＩＳマークなどのついた乗車用ヘルメットを使用しましょう。,
8,1,車を運転する場合は、ただ単に運転ができればよいというものではなく、まわりの歩行者や車の動きに注意し、相手の立場にたって思いやりの気持を持つことが必要である。,TRUE,車を運転するときは、譲り合いと思いやりの気持をもつようにしましょう。,
9,1,自動車に６歳未満の幼児を乗せて運転するときは、チャイルドシートを使用して、できるだけ後部座席に乗るのが安全である。,TRUE,６歳未満の幼児を自動車に乗せるときは、チャイルドシートを使用し、できるだけ後部座席に乗せましょう。,
10,1,運転に自信があれば、車を運転中に携帯電話を使用してもよい。,FALSE,運転中に携帯電話を使用してはいけません。,
11,1,シートの前後の位置は、クラッチを踏み込んだとき、ひざがまっすぐに伸びた状態に合わせるとよい。,FALSE,シートの前後の位置は、クラッチを踏み込んだとき、ひざがわずかに曲がる程度に調節します。,
12,1,運転者はやむを得ない理由がある場合を除き、後部座席にシートベルトを装着しない者を乗せて運転してはならない。,TRUE,設問のとおりです。しかし負傷や病気、妊娠中などやむを得ない理由がある場合は除かれます。,
13,1,二輪車の乗車用ヘルメットは、工事用の安全帽でもよい。,FALSE,二輪車の乗車用ヘルメットは、ＰＳ（Ｃ）マークかＪＩＳマークのついたものを着用しなければなりません。工事用ヘルメットは、乗車用ヘルメットではありません。,
14,1,夜間、運転中に眠気を感じたら窓をあけて新鮮な空気を入れ、少しでも眠くなったら安全な場所に車を止め、短時間でも仮眠をするか休息をとって眠気をさましてから運転をする。,TRUE,設問のとおりです。安全な場所に車を止め、十分休息してから運転しましょう。,
15,1,二輪車に乗るときは、四輪車の運転者から見落とされることがよくあるので、目につきやすい色の服装やヘルメットを着用する。,TRUE,目につきやすい色の服装やヘルメットを着用し、視認性を高めるようにしましょう。視認性を高めることは、自分の身を守ることにつながります。,
16,1,四輪車で同乗者が不用意に開けたドアにより起きた事故は、運転者にも責任がある。,TRUE,四輪車で同乗者が不用意に開けたドアにより起きた事故は、運転者にも責任がある。,
17,1,他の交通に迷惑をかけないようにしたり、危険を与えないように気配りすることは、交通ルールを守ることにつながる。,TRUE,設問のとおりです。交通ルールは、迷惑防止や安全確保を考えて定められています。,
18,1,ごく少量の酒を飲んだが、酔わない自信があったので、慎重に運転した。,FALSE,たとえ少量であっても、酒を飲んで車を運転してはいけません。,
19,1,車を運転する場合は、ただ単に運転ができればよいというものではなく、まわりの歩行者や車の動きに注意し、相手の立場にたって思いやりの気持ちを持つことが必要である。,TRUE,車を運転する場合は、ただ単に運転ができればよいというものではなく、まわりの歩行者や車の動きに注意し、相手の立場にたって思いやりの気持ちを持つことが必要である。,
20,1,やむを得ず携帯電話を使用するときは、車を安全な場所に止めてから使用するようにする。,TRUE,設問のとおりです。走行中に携帯電話を使用してはいけません。,
21,1,幼児を自動車の後部座席に乗せると目がとどかないので、前部座席に乗せるようにしたほうがよい。,FALSE,子どもは安全性の面からも後部座席に乗せた方が良いとされています。補助装置を用いて、後部座席に乗せるようにしましょう。,
22,1,シートベルトは、助手席の同乗者はもちろん後部座席の同乗者にも着用させなければならない。,TRUE,運転者は、やむを得ない理由がある場合を除き、すべての同乗者に対してシートベルトを着用させなければなりません。,
23,1,シートベルトは、多少ねじれていても効果はかわらないので、気にしなくともよい。,FALSE,シートベルトは、ねじれて巻くとかえって危険になります。ねじれがないよう、正しく着用しなければいけません。,
24,1,病気のときや心配ごとがあるときは、運転をひかえるか、体の調子を整えてから運転する。,TRUE,設問のとおりです。運転を控えるか、体調を整えてから運転するようにします。,
25,1,走行中の携帯電話の使用は大変危険なので、運転する前に電源を切るなどして呼び出し音が鳴らないようにしておく。,TRUE,設問のとおり、走行中は、原則として携帯電話を使用してはいけません。,
26,1,自分で酔っていないと思う程度の少量なら、酒を飲んで運転してもよい。,FALSE,たとえ少量であっても、酒を飲んで車を運転してはいけません。,
27,1,運転に自信があれば、車を運転中に携帯電話を使用してもよい。,FALSE,運転中に携帯電話を使用してはいけません。,
